,total_profit,avg_profit_per_hour,profit_std,sharpe_ratio,max_drawdown,n_trades,trade_ratio,total_volume,avg_volume_per_trade,total_imbalance_cost,avg_abs_imbalance,imbalance_reduction,win_rate,profit_factor
Spot Only,-15.620512694467095,-0.005975712583958338,0.021926772551606948,-0.27251799378594044,-15620512.694467109,0.0,0.0,0.0,0.0,15.620512694467095,0.028800005680417993,0.9958502004129663,0.0,0.0
Deterministic,-14.53949517197388,-0.00556216341697547,0.024413032601057115,-0.22782649256946724,-14539495.171973895,7.0,0.0026778882938026014,0.37197552418332974,0.053139360597618535,15.710556559856961,0.02894230695210251,0.9958262790473417,0.0019127773527161439,0.058257617882892146
Naive Forecast,8.261084544125843,0.0031603230849754564,0.09448668890641487,0.033446929664091914,-91346.83498017422,28.0,0.010711553175210406,13.23458233698047,0.47266365489215956,13.000422844114482,0.024640934768926925,0.99654626257121,0.009563886763580718,1.664415278964297
Simple Heuristic,0.5350108715595114,0.00020467133571519183,0.06570837910871145,0.0031147963729284034,-91346.83498017422,24.0,0.009181331293037491,9.751807169127831,0.40632529871365963,13.13578959731515,0.025353057590196095,0.9965103005699929,0.008033664881407804,1.0426489830647878
Linear Policy (Lasso),68.73904578551905,0.026296498005171788,0.1364378148594288,0.19273472898650387,-0.24276864208096163,510.0,0.19510328997704668,41.06031155069224,0.08051041480527889,12.564643239311463,0.022750326792103575,0.9966620332926596,0.18553940321346596,9.078249859601568
