,total_profit,avg_profit_per_hour,profit_std,sharpe_ratio,n_trades,trade_ratio,total_imbalance_cost,avg_abs_imbalance
spot_only,-15.620512694467095,-0.005975712583958338,0.021926772551606948,-0.27251799378594044,0.0,0.0,15.620512694467095,0.028800005680417993
deterministic,-14.53949517197388,-0.00556216341697547,0.024413032601057115,-0.22782649256946724,7.0,0.0026778882938026014,15.710556559856961,0.02894230695210251
naive_forecast,8.261084544125843,0.0031603230849754564,0.09448668890641487,0.033446929664091914,28.0,0.010711553175210406,13.000422844114482,0.024640934768926925
simple_heuristic,0.5350108715595114,0.00020467133571519183,0.06570837910871145,0.0031147963729284034,24.0,0.009181331293037491,13.13578959731515,0.025353057590196095
mean_reversion,1.3923524502795819,0.000532652046778723,0.06637145708665407,0.008025197049482544,27.0,0.010328997704667177,13.416803158591051,0.02541512889093857
adaptive_threshold,8.261084544125843,0.0031603230849754564,0.09448668890641487,0.033446929664091914,28.0,0.010711553175210406,13.000422844114482,0.024640934768926925
